ECODISTRIC,month,pe,precip,temp
629,2,0,13.5,-9.1
629,3,0,19.4,-4.4
629,4,23.90012,23.7,2.6
629,5,70.52899,70.1,8.9
629,6,100.27585,98.7,12.3
629,7,111.49629,107.1,14.4
629,8,97.40882,67.8,14
629,9,60.79658,55.7,9.4
629,10,28.32967,23.5,4.5
629,11,0,20.7,-5
629,12,0,19.2,-11.2
630,1,0,28.3,-13.2
630,2,0,16.5,-9.2
630,3,0,17.8,-4.6
630,4,26.25673,23.8,3.4
630,5,75.5947,64.1,9.7
630,6,102.36337,99.4,12.9
630,7,114.29472,114.1,15.1
630,8,99.09699,77.2,14.4
630,9,60.35388,53.1,9.6
630,10,31.04723,23.9,5.4
630,11,0,21.2,-4.7
630,12,0,24.3,-11.1
631,1,0,24.5,-10.2
631,2,0,21.8,-6.8
631,3,0,37.3,-3.6
631,4,18.4664,57.4,1.6
631,5,61.58202,79.1,6.6
631,6,91.87959,97.5,10.4
631,7,105.85185,65.6,12.9
631,8,93.12079,69.3,12.4
631,9,58.13401,59.7,7.9
631,10,26.92965,30.7,3.5
631,11,0,25.4,-4
631,12,0,24.2,-8.8
650,1,0,21.7,-15.8
650,2,0,14.9,-12.8
650,3,0,19.1,-6.1
650,4,26.66234,25.9,3.5
650,5,77.87888,45.7,10.1
650,6,112.09806,75.4,14.1
650,7,122.48096,87.9,16.1
650,8,102.52882,70.1,15
650,9,57.71492,47.4,9.2
650,10,23.34673,18.2,4.1
650,11,0,19.5,-6.9
650,12,0,22.9,-14.3
678,1,0,21.9,-16.1
678,2,0,21.1,-12
678,3,0,16.9,-5.4
678,4,27.27461,20.8,3.5
678,5,78.71141,43.5,10.2
678,6,112.17097,81.9,14.1
678,7,121.89216,97,16.1
678,8,101.18279,65.4,14.8
678,9,58.18976,43.9,9.4
678,10,23.82768,20,4.2
678,11,0,20.3,-6.8
678,12,0,24.2,-13.9
679,1,0,20.8,-16.2
679,2,0,18.7,-12.5
679,3,0,16.9,-5.5
679,4,27.48523,22.2,3.5
679,5,78.85916,46.1,10.2
679,6,111.45578,80.9,14
679,7,120.84708,90.7,15.9
679,8,100.67903,65.8,14.7
679,9,57.8891,47.2,9.3
679,10,23.05118,17.6,4
679,11,0,19.2,-7
679,12,0,23.5,-14.1
680,1,0,20.4,-16.9
680,2,0,14.3,-13.3
680,3,0,19.5,-6.7
680,4,25.61307,23,3.4
680,5,78.04744,44.1,10.2
680,6,112.30133,75.1,14.3
680,7,122.6892,83,16.3
680,8,102.38842,66.7,15.1
680,9,58.12141,46,9.4
680,10,22.91963,16.6,4.1
680,11,0,18.4,-6.9
680,12,0,22.2,-14.9
681,1,0,25.8,-13.8
681,2,0,21,-10.1
681,3,0,20.2,-4.9
681,4,27.48257,21.2,3.6
681,5,79.52677,42.5,10.4
681,6,111.09819,89.9,14.1
681,7,120.24263,97.6,16
681,8,101.05226,70.8,14.9
681,9,60.11917,40.8,9.7
681,10,26.25046,21,4.7
681,11,0,21,-5.4
681,12,0,26.1,-12
683,1,0,20,-14.3
683,2,0,15.7,-10.5
683,3,0,14.7,-5
683,4,29.04962,19.7,4.2
683,5,81.15053,39.6,11
683,6,114.62195,79.4,15
683,7,123.47853,88.6,16.7
683,8,103.65524,62.8,15.6
683,9,61.24507,39.3,10.4
683,10,25.87503,15.8,4.8
683,11,0,15.8,-5.6
683,12,0,20.6,-12.5
684,1,0,26.9,-13.9
684,2,0,20.4,-10.1
684,3,0,23.1,-4.5
684,4,27.47308,22.5,3.6
684,5,78.53697,47.9,10.3
684,6,110.4393,92.9,14.1
684,7,119.59097,103.8,16
684,8,101.03005,75.1,14.9
684,9,60.12243,47,9.7
684,10,25.39333,22.4,4.6
684,11,0,20.9,-5.6
684,12,0,28.8,-12.2
686,1,0,18.7,-17.7
686,2,0,13.3,-13.6
686,3,0,19.2,-6.7
686,4,24.5346,20.9,3.4
686,5,80.0136,42.1,10.7
686,6,114.62803,73.8,14.8
686,7,124.3852,82,16.8
686,8,103.69911,64.1,15.5
686,9,59.05087,41.3,9.8
686,10,22.84267,15,4.2
686,11,0,18.6,-7
686,12,0,22.4,-15.3
687,1,0,20.8,-17.4
687,2,0,13.1,-13.5
687,3,0,19.8,-7
687,4,24.80659,21.4,3.3
687,5,80.00394,40.6,10.6
687,6,112.59939,74.2,14.5
687,7,121.69222,80.4,16.4
687,8,102.37789,58.3,15.2
687,9,58.94688,40,9.7
687,10,21.67625,15.6,3.9
687,11,0,17.2,-7
687,12,0,21.7,-15
688,1,0,22.3,-17
688,2,0,14.9,-13
688,3,0,19.4,-6.9
688,4,25.64288,20.9,3.4
688,5,79.16017,43,10.5
688,6,112.49132,70.2,14.6
688,7,122.26694,79.4,16.5
688,8,102.84165,61.6,15.3
688,9,59.02598,42,9.7
688,10,23.26422,16.7,4.2
688,11,0,17.7,-6.6
688,12,0,22.5,-14.6
692,1,0,28.7,-12.9
692,2,0,19.6,-9.4
692,3,0,22.6,-4
692,4,30.00574,22.7,3.9
692,5,77.85599,54.4,10.2
692,6,108.85188,95,14
692,7,118.71853,113.5,15.9
692,8,100.70961,79.8,14.9
692,9,60.55338,55.2,9.9
692,10,26.13183,24.6,4.6
692,11,0,19.4,-5
692,12,0,25.9,-11.2
703,1,0,26.5,-13.2
703,2,0,19,-9.3
703,3,0,20.4,-4.5
703,4,27.46833,22.7,3.6
703,5,75.4258,57.9,9.9
703,6,106.60672,92.9,13.7
703,7,116.16493,107.3,15.6
703,8,100.20531,73.6,14.8
703,9,61.04716,51,9.9
703,10,27.89347,21.2,4.9
703,11,0,19.6,-4.6
703,12,0,21.1,-11.1
708,1,0,27,-13
708,2,0,21.2,-8.9
708,3,0,27,-4.6
708,10,27.51967,22.9,4.4
708,4,25.38432,24.4,3
708,5,70.81647,64.3,9.1
708,6,102.14969,96.8,12.7
708,7,112.36225,100.5,14.8
708,8,98.25312,59.2,14.3
708,9,60.82408,56.3,9.5
708,11,0,19.8,-4.6
708,12,0,21.9,-10.8
727,1,0,23.8,-13.6
727,2,0,17.8,-10.1
727,3,0,18.4,-4.7
727,10,26.83161,18.3,5
727,4,28.77517,21.2,4.1
727,5,79.55355,44.5,10.8
727,6,111.77676,82.5,14.6
727,7,121.00542,94.4,16.5
727,8,102.70819,68.1,15.5
727,9,61.38782,43.7,10.3
727,11,0,17.6,-5.1
727,12,0,21.8,-11.6
728,1,0,19.5,-16.1
728,2,0,13.5,-12.1
728,3,0,16.5,-6.2
728,10,23.80614,15.4,4.3
728,4,28.31602,17.9,3.9
