year,ECODISTRIC,Province_ID,Texture,deltaSOCAdj
1999,821,SK,coarse,0.100294565
2000,821,SK,coarse,0.035733355
2001,821,SK,coarse,0.045272455
2002,821,SK,coarse,-0.064863695
2003,821,SK,coarse,0.050784597
2004,821,SK,coarse,0.073701485
2005,821,SK,coarse,0.113977255
2006,821,SK,coarse,0.135268615
2007,821,SK,coarse,0.008157785
2008,821,SK,coarse,0.04980741
2009,821,SK,coarse,0.154805735
2010,821,SK,coarse,0.126476625
2011,821,SK,coarse,0.040490795
2012,821,SK,coarse,0.108468605
2013,821,SK,coarse,0.154054755
2014,821,SK,coarse,0.191238105
2015,821,SK,coarse,0.124070415
2016,821,SK,coarse,0.033970075
2017,821,SK,coarse,0.200343105
2018,821,SK,coarse,-0.010914675
2019,821,SK,coarse,0.075387195
2020,821,SK,coarse,0.078502065
2021,821,SK,coarse,0.171904405
2022,821,SK,coarse,-0.141183995
1990,821,SK,medium,0.10248819
1991,821,SK,medium,-0.01064594
1992,821,SK,medium,0.22135894
1993,821,SK,medium,0.03132636
1994,821,SK,medium,0.08925591
1995,821,SK,medium,0.01725339
1996,821,SK,medium,0.14071188
1997,821,SK,medium,0.03233277
1998,821,SK,medium,0.04265325
1999,821,SK,medium,0.15248822
2000,821,SK,medium,0.01839428
2001,821,SK,medium,0.03765844
2002,821,SK,medium,-0.18774276
2003,821,SK,medium,0.051366527
2004,821,SK,medium,0.09789413
2005,821,SK,medium,0.17924754
2006,821,SK,medium,0.22065584
2007,821,SK,medium,-0.04163027
2008,821,SK,medium,0.04390546
2009,821,SK,medium,0.25775494
2010,821,SK,medium,0.19647294
2011,821,SK,medium,0.01869053
2012,821,SK,medium,0.15740432
2013,821,SK,medium,0.24797964
2014,821,SK,medium,0.32029244
2015,821,SK,medium,0.17951774
2016,821,SK,medium,-0.00529734
2017,821,SK,medium,0.33341444
2018,821,SK,medium,-0.09882656
2019,821,SK,medium,0.07929407
2020,821,SK,medium,0.08559975
2021,821,SK,medium,0.27508314
2022,821,SK,medium,-0.36293036
1990,822,SK,coarse,0.081128428
1991,822,SK,coarse,0.120252142
1992,822,SK,coarse,0.142194248
1993,822,SK,coarse,0.064683428
1994,822,SK,coarse,0.068131318
1995,822,SK,coarse,0.047194868
1996,822,SK,coarse,0.078424148
1997,822,SK,coarse,0.129580778
1998,822,SK,coarse,0.053272978
1999,822,SK,coarse,0.098768118
2000,822,SK,coarse,0.110471376
2001,822,SK,coarse,0.126239238
2002,822,SK,coarse,0.047392168
2003,822,SK,coarse,0.050859158
