"","ECODISTRIC","Province_ID","Texture","DeltaSOC_avg"
"118",490,"NB","coarse",0.0730923738484849
"119",490,"NB","medium",0.0931944744242424
"120",493,"NB","coarse",0.0326398702424242
"121",493,"NB","fine",0.068862749969697
"122",493,"NB","medium",0.0850611511212121
"123",494,"NB","medium",0.10714996930303
"124",495,"NB","coarse",0.130328295272727
"125",495,"NB","medium",0.0869167668181818
"126",496,"NB","coarse",0.0768042484545454
"127",496,"NB","fine",0.0391515197575758
"128",496,"NB","medium",0.0903704941515152
"129",497,"NB","coarse",0.135281790606061
"130",497,"NB","medium",0.0798042821515152
"131",498,"NB","coarse",0.0821160983939394
"132",499,"NB","coarse",0.0650726142121212
"133",499,"NB","fine",-0.00112043790909091
"134",499,"NB","medium",0.0529873258787879
"135",500,"NB","coarse",0.0991084150606061
"136",500,"NB","fine",0.0276269666060606
"137",500,"NB","medium",0.00476945318181818
"138",501,"NB","coarse",0.0895720986666667
"139",501,"NB","medium",0.0364819982727273
"140",502,"NB","coarse",0.119516948727273
"141",502,"NB","medium",0.120828527818182
"142",503,"NB","coarse",0.102817162757576
"143",503,"NB","fine",0.0580616074848485
"144",503,"NB","medium",0.0503400045757576
"145",504,"NB","coarse",0.0942060783636364
"146",504,"NB","medium",0.0191780511515151
"147",504,"NS","coarse",0.0117508351212121
"148",504,"NS","medium",-0.0438492265151515
"149",505,"NB","coarse",0.10603309969697
"150",505,"NB","medium",0.0644062186666667
"151",506,"NB","coarse",0.105209783818182
"152",506,"NB","medium",0.0574276708787879
"153",507,"NB","coarse",0.0557544391818182
"154",507,"NB","medium",0.0474160548181818
"155",507,"NS","coarse",0.063095731030303
"156",507,"NS","medium",-0.080328870969697
"157",508,"NB","coarse",0.0598185820909091
"158",509,"NS","coarse",-0.00759320903030303
"159",509,"NS","medium",0.114924199151515
"160",510,"NS","coarse",0.0386799709393939
"161",510,"NS","medium",0.010518638
"162",511,"NS","medium",0.111855454939394
"163",512,"NS","medium",-0.0483141051515152
"164",513,"NS","coarse",0.0647678358181818
"165",513,"NS","medium",0.00890274572727273
"166",514,"NS","coarse",-0.0222995753939394
"167",516,"NS","coarse",0.068576044
"168",516,"NS","medium",0.00448760690909091
"169",517,"NS","coarse",0.0443726935151515
"170",517,"NS","medium",0.0019961246969697
"171",518,"NS","coarse",0.0736631160909091
"172",518,"NS","medium",-0.0394957613030303
"173",519,"NS","medium",0.0353251721515152
"174",520,"NS","coarse",0.065743037030303
"175",520,"NS","medium",-0.0106238601818182
"176",521,"NS","medium",-0.102238933090909
"177",522,"NS","coarse",0.0611319995151515
"178",522,"NS","medium",0.061190692030303
"179",523,"NS","coarse",0.0393742615757576
"180",523,"NS","medium",0.0532455135757576
"181",524,"NS","coarse",0.0445771233333333
"182",524,"NS","medium",0.0170052104848485
"183",525,"NS","coarse",0.0843293908787879
"184",525,"NS","medium",0.0586475352121212
"185",527,"NS","coarse",0.0301965853939394
"186",527,"NS","medium",0.00627639542424242
"187",528,"NS","coarse",0.0163734633636364
"188",528,"NS","medium",0.00135638918181818
"189",529,"NS","medium",0.067010988
"190",530,"NS","coarse",0.0903283803030303
"191",530,"NS","medium",0.0452609268787879
"192",531,"NS","coarse",0.0520916433030303
"193",531,"NS","medium",0.00374768618181818
"194",534,"PE","coarse",0.0374361021818182
"195",534,"PE","medium",0.0220544767272727
"196",535,"PE","coarse",0.061050093
"197",536,"PE","coarse",0.0474250882424242
"198",536,"PE","medium",0.0189348015757576
"199",537,"PE","coarse",0.0468474924545455
"200",537,"PE","medium",0.00369864045454545
"201",538,"PE","coarse",0.0646942624545455
"202",539,"QC","medium",0.35359720769697
"203",540,"QC","coarse",0.140091998787879
"204",540,"QC","fine",-0.041470519969697
"205",540,"QC","medium",0.166442751878788
"206",541,"ON","fine",0.191744990242424
"207",541,"ON","medium",0.0271190745454545
"208",541,"QC","coarse",0.153038201151515
"209",541,"QC","fine",-0.052083820030303
"210",541,"QC","medium",0.247755235848485
"211",542,"ON","fine",0.00453404039393939
"212",542,"ON","medium",0.117435138424242
"213",543,"ON","coarse",0.287355963636364
"214",543,"ON","fine",-0.00363992739393939
"215",543,"ON","medium",-0.0868475166363636
"216",543,"QC","fine",-0.0556595035757576
"217",543,"QC","medium",0.151079828636364
"218",544,"ON","coarse",0.24680305830303
"219",544,"ON","fine",0.218242039757576
"220",544,"ON","medium",-0.0195198995757576
"221",545,"ON","coarse",0.151114860363636
"222",545,"ON","fine",0.110224464363636
"223",545,"ON","medium",-0.0434894506666667
"224",546,"ON","fine",0.149736517424242
"225",546,"ON","medium",0.101214783121212
"226",546,"QC","medium",-0.0522447548181818
"227",547,"ON","coarse",0.166616359090909
"228",547,"ON","fine",0.214226184878788
"229",547,"ON","medium",0.092190431030303
"230",548,"QC","medium",0.169246505333333
"231",549,"ON","fine",-0.00179746339393939
"232",549,"ON","medium",0.0218754940909091
"233",550,"ON","coarse",0.106400278909091
"234",550,"ON","fine",0.0201716763030303
