"","ECODISTRIC","Province_ID","Texture","DeltaSOC_avg"
"122",493,"NB","medium",0.071319269
"123",494,"NB","medium",0.117611425
"124",495,"NB","coarse",0.207640141
"125",495,"NB","medium",0.181330561
"126",496,"NB","coarse",0.132059314
"127",496,"NB","fine",0.10096358
"128",496,"NB","medium",0.158083016
"129",497,"NB","coarse",0.112320235
"130",497,"NB","medium",0.046120002
"131",498,"NB","coarse",0.181510298
"132",499,"NB","coarse",0.10427991
"133",499,"NB","fine",0.051994001
"134",499,"NB","medium",0.096697748
"135",500,"NB","coarse",0.098194877
"136",500,"NB","fine",0.005630629
"137",500,"NB","medium",-0.020508483
"138",501,"NB","coarse",0.087825961
"139",501,"NB","medium",0.030152564
"140",502,"NB","coarse",0.175389884
"141",502,"NB","medium",0.18853171
"142",503,"NB","coarse",0.096328112
"143",503,"NB","fine",0.029225124
"144",503,"NB","medium",0.030045478
"145",504,"NB","coarse",0.056750527
"146",504,"NB","medium",-0.036041229
"147",504,"NS","coarse",0.0615926772
"148",504,"NS","medium",0.019317407
"149",505,"NB","coarse",0.161947595
"150",505,"NB","medium",0.1404794458
"151",506,"NB","coarse",0.115176751
"152",506,"NB","medium",0.060441603
"153",507,"NB","coarse",0.079321923
"154",507,"NB","medium",0.0809922322
"155",507,"NS","coarse",0.077650216
"156",507,"NS","medium",-0.083310673
"157",508,"NB","coarse",0.040814416
"158",509,"NS","coarse",-0.010869831
"159",509,"NS","medium",0.120413486
"160",510,"NS","coarse",0.088446635
"161",510,"NS","medium",0.059036715
"162",511,"NS","medium",0.0853242426
"163",512,"NS","medium",-0.0851201316
"164",513,"NS","coarse",0.405812773
"165",513,"NS","medium",0.528013073
"166",514,"NS","coarse",-0.018104922
"167",516,"NS","coarse",0.212305344
"168",516,"NS","medium",0.191408917
"169",517,"NS","coarse",0.061960674
"170",517,"NS","medium",0.015067659
"171",518,"NS","coarse",0.083894533
"172",518,"NS","medium",-0.0520214822
"173",519,"NS","medium",0.065320077
"174",520,"NS","coarse",0.159219664
"175",520,"NS","medium",0.16331982
"176",521,"NS","medium",-0.138100083
"177",522,"NS","coarse",0.149353498
"178",522,"NS","medium",0.159677163
"179",523,"NS","coarse",0.127589805
"180",523,"NS","medium",0.119050242
"181",524,"NS","coarse",0.074210237
"182",524,"NS","medium",0.049906523
"183",525,"NS","coarse",0.111521512
"184",525,"NS","medium",0.082117974
"185",527,"NS","coarse",0.062569378
"186",527,"NS","medium",0.038016912
"187",528,"NS","coarse",0.056771001
"188",528,"NS","medium",0.0410994218
"189",529,"NS","medium",0.081004553
"190",530,"NS","coarse",0.150955216
"191",530,"NS","medium",0.109751805
"192",531,"NS","coarse",0.0784440194
"193",531,"NS","medium",0.026949783
"194",534,"PE","coarse",0.0671280974
"195",534,"PE","medium",0.057116027
"196",535,"PE","coarse",0.0984592138
"197",536,"PE","coarse",0.095505914
"198",536,"PE","medium",0.0776026814
"199",537,"PE","coarse",0.0914010316
"200",537,"PE","medium",0.0573854218
"201",538,"PE","coarse",0.1242725142
"202",539,"QC","medium",0.281118958
"203",540,"QC","coarse",0.1441456476
"204",540,"QC","fine",-0.060942242
"205",540,"QC","medium",0.16862315
"206",541,"ON","fine",0.190459335
"207",541,"ON","medium",0.0137435218
"208",541,"QC","coarse",0.1513033684
"209",541,"QC","fine",-0.086236299
"210",541,"QC","medium",0.244014917
"211",542,"ON","fine",-0.0197320672
"212",542,"ON","medium",0.1101554344
"213",543,"ON","coarse",0.30153714
"214",543,"ON","fine",-0.0139398062
"215",543,"ON","medium",-0.106862933
"216",543,"QC","fine",-0.124654587
"217",543,"QC","medium",0.123233135
"218",544,"ON","coarse",0.259062858
"219",544,"ON","fine",0.22290157
"220",544,"ON","medium",-0.034110391
"221",545,"ON","coarse",0.162254426
"222",545,"ON","fine",0.115231928
"223",545,"ON","medium",-0.051883722
"224",546,"ON","fine",0.150494465
"225",546,"ON","medium",0.1015383716
"226",546,"QC","medium",-0.054681521
"227",547,"ON","coarse",0.170793431
"228",547,"ON","fine",0.216645827
"229",547,"ON","medium",0.0924329692
"230",548,"QC","medium",0.129245043
"231",549,"ON","fine",-0.029536692
"232",549,"ON","medium",-0.003201244
"233",550,"ON","coarse",0.1389603894
"234",550,"ON","fine",0.075153662
"235",550,"ON","medium",0.1513639488
"236",551,"ON","coarse",0.1131549906
"237",551,"ON","fine",0.00651319
"238",551,"ON","medium",0.1657438
"239",552,"ON","coarse",0.0569451012
"240",552,"ON","medium",0.152321168
"241",553,"ON","coarse",0.090564616
"242",553,"ON","fine",0.1069383778
"243",553,"ON","medium",0.169714604
"244",554,"ON","coarse",0.051349533
"245",554,"ON","medium",0.171804709
"246",555,"ON","coarse",0.053151852
"247",555,"ON","fine",-0.01254434
"248",555,"ON","medium",0.134072494
"249",556,"ON","coarse",0.065138331
