"","MAP_bin","MAT_bin","Cinput_bin","CARB30_bin","TEXCAT","mean_deltaSOC","median_deltaSOC","sd_deltaSOC","n"
"109",3,2,3,2,"coarse",0.188004430095238,0.205864977,0.0847960120407727,21
"110",3,2,3,2,"fine",0.063381857625,0.1259175,0.175465568548464,8
"111",3,2,3,2,"medium",-0.0910078206666667,-0.075930954,0.180677907231663,3
"112",3,2,4,2,"coarse",0.159443777,0.159443777,NA,1
"113",4,1,1,1,"coarse",0.0467551363115385,0.038424327,0.0770525805890727,52
"114",4,1,1,1,"medium",0.0213211326760563,0.017438348,0.0813634880334222,71
"115",4,1,1,2,"medium",0.0394282121320755,0.040395386,0.120841832104029,53
"116",4,1,2,1,"coarse",0.0492420180714286,0.0624531815,0.0770343186271558,14
"117",4,1,2,1,"medium",0.03089805625,0.029461387,0.124821519059708,28
"118",4,1,2,2,"medium",0.0694117172307692,0.093633083,0.113087457553218,13
"119",4,2,1,1,"coarse",0.0536123504788732,0.042710594,0.0826419422699166,71
"120",4,2,1,1,"medium",0.0178522591016949,0.025573019,0.151195131247038,59
"121",4,2,1,2,"fine",0.221379988043478,0.228230715,0.107564780443265,23
"122",4,2,1,2,"medium",0.026940132,0.005049597,0.130164474696886,12
"123",4,2,2,1,"coarse",0.0781021054,0.071204318,0.0938542208516599,90
"124",4,2,2,1,"fine",-0.0623138318235294,-0.068461163,0.119179557576075,17
"125",4,2,2,1,"medium",0.0130353983111111,0.018445339,0.140493131540273,90
"126",4,2,2,2,"coarse",0.141651178941176,0.138281356,0.0609487029952308,17
"127",4,2,2,2,"fine",0.239444196451613,0.206666169,0.125901247372983,31
"128",4,2,2,2,"medium",0.136805403578947,0.175186402,0.167991084762456,38
"129",4,2,3,1,"coarse",0.161443102,0.163466652,0.0299318101420546,4
"130",4,2,3,1,"fine",-0.0412144325,-0.014401343,0.113383878507194,16
"131",4,2,3,1,"medium",0.055867103125,0.067221305,0.0837247764767951,16
"132",4,2,3,2,"coarse",0.16513691225,0.179643286,0.0514563542522825,16
"133",4,2,3,2,"fine",0.205192634,0.207341419,0.067623473222283,12
"134",4,2,3,2,"medium",0.2636728545,0.282648927,0.068622276744572,16
